@relation fences

@attribute grasshealth numeric
@attribute wolfdistance numeric
@attribute sheepdistance numeric
@attribute sheepposition {inside, outside, middle}
@attribute bossposition {inside, outside}
@attribute updown {up, down}

@data
1,32.18576,9.553483,outside,outside,down
1,24.68605,0.8794634,outside,outside,down
1,32.78313,8.510362,outside,outside,down
1,23.17782,8.979462,outside,outside,down
0.9202182,17.58779,3.991892,inside,outside,down
0.9193714,25.00375,2.16616,inside,outside,down
0.9193714,14.46518,8.111724,inside,outside,down
0.819344,6.348674,9.512178,middle,outside,down
0.41802,23.83343,4.50816,middle,outside,down
0.3177123,31.50216,4.72018,middle,outside,down
0.254432,25.56755,6.78298,outside,outside,down
0.254432,24.61751,4.429981,outside,outside,down
0.3549783,23.10513,10.92542,outside,outside,down
0.3549783,19.22853,5.927227,outside,outside,down
0.4555793,23.10976,12.28209,outside,outside,down
0.4555793,16.02198,7.229336,outside,outside,down
0.5557595,20.08194,12.28209,outside,outside,down
0.5557595,12.17606,5.325097,outside,outside,down
0.6561302,18.43056,12.23424,outside,outside,down
0.6561302,9.954537,4.44664,outside,outside,down
0.7565822,24.9357,11.6905,outside,outside,down
0.7565822,17.50674,4.287561,outside,outside,down
0.8570192,33.72364,12.78304,outside,outside,down
0.8570192,26.65639,4.930469,outside,outside,down
0.9571596,39.41964,12.41587,outside,outside,down
0.9571596,31.9157,4.843289,outside,outside,down
1,48.27081,12.32906,outside,outside,down
1,40.47204,4.943017,outside,outside,down
1,57.51198,11.07078,outside,outside,down
1,49.54531,3.495917,outside,outside,down
1,52.39493,8.353603,outside,outside,down
1,44.31553,1.693781,outside,outside,down
0.9180105,43.33742,4.189984,inside,outside,down
0.9180105,35.43144,1.458128,inside,outside,down
0.1029308,31.62716,1.899663,inside,outside,down
0.003246865,31.21937,5.388484,inside,outside,down
0.002399804,22.76071,1.869021,inside,outside,down
0.002399804,23.54444,6.111608,inside,outside,down
0.09334711,11.83914,8.553578,outside,outside,down
0.09421127,4.235239,3.439083,outside,outside,down
0.09421127,11.88636,11.85383,outside,outside,down
0.09421127,16.2331,14.65138,outside,outside,down
0.1508725,17.45717,6.999979,middle,outside,down
0.1517266,12.26175,1.012077,middle,outside,down
0.1517266,5.593703,7.945375,middle,outside,down
0.1517266,13.62688,12.20389,middle,outside,down
0.1639174,17.30777,7.440811,middle,outside,down
0.1496382,14.63691,0.5997686,middle,outside,down
0.1496382,6.181659,6.106764,middle,outside,down
0.1496382,11.11453,9.790403,middle,outside,down
0.05043652,13.33131,4.633756,inside,outside,down
0.04957503,15.58442,1.737085,inside,outside,down
0.04957503,9.420842,8.123216,inside,outside,down
0.04957503,4.858186,8.349652,inside,outside,down
0,14.71528,1.10504,middle,outside,down
0,20.78865,5.775215,middle,outside,down
0,17.31746,9.580938,middle,outside,down
0,9.179642,8.153661,middle,outside,down
0.103061,28.42033,5.526978,outside,outside,down
0.1039173,36.53833,9.364645,outside,outside,down
0.1039173,35.32751,16.34749,outside,outside,down
0.1039173,26.84584,14.0109,outside,outside,down
0.2035948,36.97544,7.717415,outside,outside,down
1,17.96809,7.426579,outside,outside,down
1,22.41382,9.362219,outside,outside,down
1,15.72984,7.373347,outside,outside,down
1,16.62286,7.916961,outside,outside,down
1,12.53018,6.856317,outside,outside,down
1,16.3441,7.998187,outside,outside,down
1,23.09571,7.249592,outside,outside,down
1,27.21407,6.999146,outside,outside,down
1,31.6137,9.726748,outside,outside,down
1,34.18015,5.501315,outside,outside,down
1,29.26737,11.92578,outside,outside,down
1,30.88639,7.982914,outside,outside,down
1,27.26385,14.47716,outside,outside,down
1,26.86762,10.51794,outside,outside,down
1,23.44164,9.002246,outside,outside,down
1,20.94483,8.372544,outside,outside,down
0.9874541,18.30766,3.998517,middle,outside,down
0.9865743,17.63962,5.741476,middle,outside,down
0.8873059,12.92729,0.3509792,inside,outside,down
0.8864685,15.28214,6.887408,inside,outside,down
0.08238416,36.94654,7.54762,inside,outside,down
0.08152378,44.8278,9.103917,inside,outside,down
0.08152378,42.72963,4.637016,inside,outside,down
0.03344938,34.45004,8.365052,outside,outside,down
0.03428266,42.89703,13.29238,outside,outside,down
0.03428266,44.42981,9.391294,outside,outside,down
0.03428266,36.34086,1.302599,outside,outside,down
0.1344193,44.92547,13.95941,outside,outside,down
0.1344193,48.07216,10.1885,outside,outside,down
1,44.90555,7.692142,middle,outside,down
1,42.74405,1.132515,middle,outside,down
0.9410042,35.66061,4.369149,inside,outside,down
0.9410042,32.99943,1.033059,inside,outside,down
0.03888264,24.10402,5.799139,inside,outside,down
0.03800739,25.6527,1.029972,inside,outside,down
0.03800739,33.75027,7.288739,inside,outside,down
0.0128336,24.34866,9.358584,outside,outside,down
0.01369756,28.78753,1.537637,outside,outside,down
0.01369756,35.7777,9.254722,outside,outside,down
0.01369756,32.31376,13.52949,outside,outside,down
0.1129108,27.90826,14.13161,outside,outside,down
0.1137838,34.19852,5.763062,outside,outside,down
0.1137838,39.89874,10.85938,outside,outside,down
0.1137838,34.65893,17.05043,outside,outside,down
0.2138995,45.61718,11.03466,outside,outside,down
0.2138995,39.16788,18.38975,outside,outside,down
1,39.36925,16.72819,outside,outside,down
1,47.69593,10.271,outside,outside,down
1,46.96203,6.034691,outside,outside,down
1,48.07736,16.35369,outside,outside,down
1,56.49237,11.42089,outside,outside,down
1,56.12341,4.456705,outside,outside,down
1,57.04343,12.52986,outside,outside,down
1,65.49989,9.18511,outside,outside,down
1,65.39759,0.922475,outside,outside,down
0.9147325,54.58795,7.970429,inside,outside,down
0.9138493,62.40108,1.746596,inside,outside,down
0.01006825,37.26741,8.6145,inside,outside,down
0.05783475,44.29084,6.448103,outside,outside,down
0.05871581,46.70391,13.88584,outside,outside,down
0.05871581,54.68328,18.24251,outside,outside,down
0.1588577,49.02272,24.07324,outside,outside,down
1,41.04422,5.74686,outside,outside,down
1,36.55404,11.21084,outside,outside,down
1,45.58266,8.281021,outside,outside,down
1,41.55449,10.34892,outside,outside,down
1,37.67677,7.710077,outside,outside,down
1,34.96792,5.074851,outside,outside,down
1,30.90892,10.50912,outside,outside,down
1,30.23352,4.916958,outside,outside,down
1,25.03584,10.995,outside,outside,down
1,29.01278,2.560917,outside,outside,down
0.9449355,26.7116,8.567245,inside,outside,down
0.9440802,33.20546,1.55243,inside,outside,down
0.9935841,21.86673,17.70279,outside,outside,up
0.3177123,31.49437,4.074746,middle,outside,up
